name,depth,path,has_children
dict_from_cookiejar,2,requests.utils.dict_from_cookiejar,False
add_dict_to_cookiejar,2,requests.utils.add_dict_to_cookiejar,False
get_encodings_from_content,2,requests.utils.get_encodings_from_content,False
get_encoding_from_headers,2,requests.utils.get_encoding_from_headers,False
stream_decode_response_unicode,2,requests.utils.stream_decode_response_unicode,False
iter_slices,2,requests.utils.iter_slices,False
get_unicode_from_response,2,requests.utils.get_unicode_from_response,False
unquote_unreserved,2,requests.utils.unquote_unreserved,False
requote_uri,2,requests.utils.requote_uri,False
address_in_network,2,requests.utils.address_in_network,False
dotted_netmask,2,requests.utils.dotted_netmask,False
is_ipv4_address,2,requests.utils.is_ipv4_address,False
is_valid_cidr,2,requests.utils.is_valid_cidr,False
set_environ,2,requests.utils.set_environ,False
should_bypass_proxies,2,requests.utils.should_bypass_proxies,False
get_environ_proxies,2,requests.utils.get_environ_proxies,False
select_proxy,2,requests.utils.select_proxy,False
resolve_proxies,2,requests.utils.resolve_proxies,False
default_user_agent,2,requests.utils.default_user_agent,False
default_headers,2,requests.utils.default_headers,False
parse_header_links,2,requests.utils.parse_header_links,False
guess_json_utf,2,requests.utils.guess_json_utf,False
prepend_scheme_if_needed,2,requests.utils.prepend_scheme_if_needed,False
get_auth_from_url,2,requests.utils.get_auth_from_url,False
check_header_validity,2,requests.utils.check_header_validity,False
urldefragauth,2,requests.utils.urldefragauth,False
rewind_body,2,requests.utils.rewind_body,False
to_native_string,2,requests.utils.to_native_string,False
cookiejar_from_dict,2,requests.utils.cookiejar_from_dict,False
FileModeWarning,2,requests.utils.FileModeWarning,True
FileModeWarning,3,requests.utils.FileModeWarning.FileModeWarning,False
InvalidHeader,2,requests.utils.InvalidHeader,True
InvalidHeader,3,requests.utils.InvalidHeader.InvalidHeader,False
InvalidURL,2,requests.utils.InvalidURL,True
InvalidURL,3,requests.utils.InvalidURL.InvalidURL,False
UnrewindableBodyError,2,requests.utils.UnrewindableBodyError,True
UnrewindableBodyError,3,requests.utils.UnrewindableBodyError.UnrewindableBodyError,False
CaseInsensitiveDict,2,requests.utils.CaseInsensitiveDict,True
CaseInsensitiveDict,3,requests.utils.CaseInsensitiveDict.CaseInsensitiveDict,False
lower_items,3,requests.utils.CaseInsensitiveDict.lower_items,False
copy,3,requests.utils.CaseInsensitiveDict.copy,False
_internal_utils,1,requests._internal_utils,True
to_native_string,2,requests._internal_utils.to_native_string,False
unicode_is_ascii,2,requests._internal_utils.unicode_is_ascii,False
__init__,1,requests.__init__,True
check_compatibility,2,requests.__init__.check_compatibility,False
__version__,1,requests.__version__,False
RequestsDependencyWarning,1,requests.RequestsDependencyWarning,True
RequestsDependencyWarning,2,requests.RequestsDependencyWarning.RequestsDependencyWarning,False
ConnectionError,1,requests.ConnectionError,True
ConnectionError,2,requests.ConnectionError.ConnectionError,False
ConnectTimeout,1,requests.ConnectTimeout,True
ConnectTimeout,2,requests.ConnectTimeout.ConnectTimeout,False
FileModeWarning,1,requests.FileModeWarning,True
FileModeWarning,2,requests.FileModeWarning.FileModeWarning,False
HTTPError,1,requests.HTTPError,True
HTTPError,2,requests.HTTPError.HTTPError,False
JSONDecodeError,1,requests.JSONDecodeError,True
JSONDecodeError,2,requests.JSONDecodeError.JSONDecodeError,False
ReadTimeout,1,requests.ReadTimeout,True
ReadTimeout,2,requests.ReadTimeout.ReadTimeout,False
RequestException,1,requests.RequestException,True
RequestException,2,requests.RequestException.RequestException,False
Timeout,1,requests.Timeout,True
Timeout,2,requests.Timeout.Timeout,False
TooManyRedirects,1,requests.TooManyRedirects,True
